Samples	Trait1	Trait2
Z001E0001	0.370917135622183	1.08310681492275
Z001E0002	1.41681361614102	2.30509313865221
Z001E0003	2.37084559202485	2.13113769821214
Z001E0004	1.43032266366264	2.71669340224145
Z001E0005	2.13215289392412	3.34885781274992
Z001E0006	3.38314623839527	2.19871661235883
Z001E0007	2.32435464537038	1.29216308599024
Z001E0008	2.07531870750043	1.79608561029513
Z001E0009	3.1184467899672	1.95294342442009
Z001E0010	0.0605163578994297	1.83981018340348
Z001E0012	4.0289126174611	4.44402123969493
Z001E0013	2.68490608037149	3.84310864802207
Z001E0014	3.05644824554799	1.57672927880073
Z001E0015	3.25249375709978	2.51518978822039
Z001E0016	2.70156762188615	2.90928117972313
Z001E0017	2.72187273479824	2.1207191647956
Z001E0018	1.77315676165593	3.42248626945642
Z001E0019	1.05672242744786	-0.265233165139768
Z001E0020	1.94494579938832	1.85182093823859
Z001E0021	3.35523536331267	2.48798460613447
Z001E0022	0.710918375269366	1.67899074429856
Z001E0023	2.97025877711689	2.52651251967506
Z001E0024	2.3451086209157	1.9601735554578
Z001E0025	3.20666561619129	2.64436143611787
Z001E0027	2.25944541457878	1.84055382013188
Z001E0028	1.84208896363867	3.28069426712407
Z001E0030	4.07005008562552	3.21860047466976
Z001E0031	2.48461587018526	2.48997564959805
Z001E0032	1.36462708197207	1.26443871279446
Z001E0033	-0.255756876526943	0.881108959111956
Z001E0034	0.939893002674433	0.263935587259241
Z001E0036	2.55516794156152	1.95326968597226
Z001E0037	2.05941202765507	1.55880674253051
Z001E0038	2.28140524259521	2.70491118000817
Z001E0039	-0.274839563645509	-0.429390339012235
Z001E0040	0.0559089032897454	1.97604651871407
Z001E0041	3.39772126355233	2.39479483427913
Z001E0042	4.76881460594533	3.83653905378311
Z001E0043	0.79649700768838	2.72996075612633
Z001E0044	2.56776681975507	1.31660309354176
Z001E0045	-0.0579534171660059	1.54487210329698
Z001E0046	0.384503907963715	2.48209620331946
Z001E0047	-0.364077600140441	0.954576280809134
Z001E0048	2.07362256588011	1.50768108617268
Z001E0049	0.423689756481858	0.570204115132134
Z001E0050	3.32302679448947	2.03362681458946
Z001E0051	2.90271276326155	3.44032369828187
Z001E0052	1.77178481720708	1.51137623872506
Z001E0053	1.60715048991021	0.798856558856516
Z001E0054	-0.176246675848775	0.23292118903786
Z001E0055	0.966453605330587	0.845585931223349
Z001E0056	1.80517731178715	2.34204041369816
Z001E0057	2.87082575988439	1.98465494141839
Z001E0058	0.580677153765043	0.272432299499938
Z001E0059	3.07168000600891	1.84726890904736
Z001E0060	-0.330827617663654	1.897017386097
Z001E0061	2.08254652217197	2.11618190622503
Z001E0062	4.50032428936735	2.81583484433156
Z001E0063	2.34241428574732	2.55590693515391
Z001E0064	3.8048667388047	3.33732930610103
Z001E0065	0.695130979916732	2.42938868944346
Z001E0067	1.7268789616331	2.93084624280283
Z001E0068	-0.0868790570824008	1.51974121248847
Z001E0069	1.82008863846782	1.44576870561328
Z001E0070	1.42195064660876	1.12827174365564
Z001E0071	2.05406973898874	2.82346059362297
Z001E0072	2.63604043598525	3.32793222878979
Z001E0073	1.555287015755	1.50646112177939
Z001E0074	4.32957910900515	2.93534821094494
Z001E0075	1.29544888598502	2.58456060680822
Z001E0077	-0.35266562844831	2.0064259856647
Z001E0078	1.3314221839402	1.39108649835847
Z001E0079	1.72727299622216	2.28104615145051
Z001E0080	0.0532452931278504	1.12941822632838
Z001E0081	1.38834787331732	-0.3223487027387
Z001E0082	2.96176980254789	2.51721627869363
Z001E0083	0.350163804402934	0.744044023450013
Z001E0085	2.00270454784903	1.19515172517217
Z001E0086	1.85439471284635	1.33088913057144
Z001E0087	1.6586493244522	0.162522317351948
Z001E0088	1.39914204677417	2.33724196048159
Z001E0089	1.35036622137816	2.01678469618247
Z001E0090	0.554861321817567	1.65703879383039
Z001E0091	3.20982128678272	2.41459761029737
Z001E0092	1.59197766543588	1.66683274689897
Z001E0093	0.427722915423876	1.96798309850469
Z001E0094	2.05114355214177	2.63071342992442
Z001E0095	1.52698480998259	0.859989740287139
Z001E0096	1.35513324655501	1.02022287352992
Z001E0097	1.87535523019934	0.647887875991011
Z001E0098	1.29900625823527	1.9834053652939
Z001E0099	1.94438373237807	2.56775889569897
Z001E0100	0.938683442948733	2.06654341627031
Z001E0101	4.29772413784846	3.22164311978682
Z001E0102	3.33064196036808	2.63148335395112
Z001E0103	2.3588836397097	2.06873302533985
Z001E0104	2.75066492571457	3.14433848050821
Z001E0105	1.51918186983864	1.03863987163863
Z001E0107	3.95957516007877	1.24846684202334
Z001E0108	1.60578046540733	2.13133067857928
Z001E0109	1.979322319495	3.46152829122451
Z001E0110	2.65381683987992	1.26209197182044
Z001E0111	1.38346316348426	2.55009409918184
Z001E0112	1.22566303624327	1.74632008005291
Z001E0113	2.55989850113408	3.23371705795264
Z001E0115	2.31799345033266	0.36674368367231
Z001E0116	2.05467716512566	2.74069794913309
Z001E0117	2.44899822169442	2.2850600824497
Z001E0118	3.20303500649847	3.39497001927134
Z001E0119	1.14295167212082	3.80720176364544
Z001E0120	1.62400643808764	-0.232409921972217
Z001E0121	1.84905850767427	3.12945013514697
Z001E0122	1.43720288832155	1.75408715017685
Z001E0123	3.3752078925856	2.87180493638255
Z001E0124	2.08515182644084	1.16371764059219
Z001E0125	2.95758588641301	0.383469351694466
Z001E0126	-0.0366174349949666	-0.970351354896661
Z001E0127	0.987222698270511	2.72116364776756
Z001E0128	2.86876905679721	1.84725189418971
Z001E0129	1.01588939416757	1.27141672616742
Z001E0130	1.53848007083981	1.74751570580049
Z001E0131	1.32100855668309	1.5339327581682
Z001E0134	4.58813817507039	3.35490327248061
Z001E0135	3.04414161181184	2.99703351540346
Z001E0136	3.27488823082825	2.20859955799946
Z001E0137	2.3285707338389	3.14075970175224
Z001E0138	2.70171892936225	2.20768237353477
Z001E0139	4.30095011122119	0.898659762340407
Z001E0140	0.232887321292997	-1.67976920990431
Z001E0141	1.19970759231214	1.72245832285636
Z001E0143	1.08658806520157	0.92803216129512
Z001E0144	-0.145988050356992	0.432233940433892
Z001E0145	2.09174877310755	2.71890739527333
Z001E0146	1.80877980050822	3.78417121084002
Z001E0147	1.77947149458137	2.16634954272811
Z001E0148	3.3925039541241	2.37096941957398
Z001E0149	1.02939284848096	0.0513418941612876
Z001E0150	0.324191970137805	1.77972812946585
Z001E0151	1.68417368985901	0.483216166931897
Z001E0152	2.82140628026555	3.8158784241413
Z001E0153	1.09818786147539	2.04082284545302
Z001E0154	1.3309964015052	3.37514000677126
Z001E0156	2.74166261048896	1.4720940820428
Z001E0157	3.26212129889626	3.88780514811465
Z001E0158	2.40373990001733	2.65033614224677
Z001E0159	1.66710915203127	1.91564879411207
Z001E0160	2.8254323926416	2.21797223559884
Z001E0161	2.16712271852536	2.38144512112226
Z001E0162	1.0831575559871	-0.120265902443356
Z001E0163	1.99849721991876	0.675163646035217
Z001E0164	1.04061887943881	3.96159443276649
Z001E0165	2.65957151020435	0.737788777079196
Z001E0166	3.75626816149464	3.94699122302702
Z001E0167	2.89221328545894	4.15606895209919
Z001E0168	0.396678705622188	1.33187845608314
Z001E0169	2.10159486773092	3.96391555554798
Z001E0170	1.84375987884964	1.04102030246153
Z001E0171	0.0508921887208671	1.15015666303564
Z001E0172	2.20020824755907	1.60191038381095
Z001E0173	0.658138480278931	0.914779138725487
Z001E0174	2.33709103523798	3.24874561530077
Z001E0175	2.57048758889239	3.81663859578112
Z001E0176	1.93751606547112	2.7470893059553
Z001E0177	2.75883222209114	2.1947856385057
Z001E0178	0.957450319120795	0.966284141575323
Z001E0181	2.05294957946585	2.98242070268624
Z001E0182	1.60508105151577	1.42897278950766
Z001E0183	0.538868279268015	0.0870563858748186
Z001E0184	1.55514812667816	3.55841969754877
Z001E0185	1.49885717152675	-0.361522300926337
Z001E0186	1.19999158267142	0.688859033266075
Z001E0187	1.62747014624493	2.27689299800417
Z001E0188	1.05880466827569	0.135560063583116
Z001E0189	2.21701724998908	2.55196207492009
Z001E0190	0.844759409189503	0.882955850170868
Z001E0191	2.05452411969539	1.19930541917663
Z001E0192	3.00718423686745	2.84927268248423
Z001E0193	0.306678895238286	-1.05923555894546
Z001E0194	1.13725383030001	1.41156566246178
Z001E0195	1.35106845544114	2.85275809832502
Z001E0196	2.8453956873399	2.41064587075575
Z001E0197	1.6362966085096	2.15210679022717
Z001E0198	-0.0718224454883998	1.19692254656295
Z001E0199	0.261958362807203	0.132491423170184
Z003E0001	1.00199520086116	3.56653307909341
Z003E0002	2.89676211400053	2.55347645325253
Z003E0003	3.28086960704044	3.56512519466785
Z003E0006	2.10795131916161	1.32771437817902
Z003E0007	3.52422003245957	1.94627401632604
Z003E0009	2.43033313649081	2.74930731633186
Z003E0010	0.448878502410228	1.35363563312156
Z003E0011	-0.0851002982912333	0.689022844204779
Z003E0012	0.797048471450399	0.736488880047152
Z003E0013	0.693675788290482	1.35628245661558
Z003E0014	0.240626070027096	1.70322707853761
Z003E0016	1.77870845084173	1.62724788626472
Z003E0017	3.27024136112033	3.10580004426194
Z003E0018	0.483761529387487	1.34025586449141
Z003E0019	1.25102140476866	0.706140843646815
Z003E0021	1.3765065224856	2.30505160802986
Z003E0022	1.94817760080212	2.51923813885216
Z003E0023	0.59764576472178	1.15625259933357
Z003E0024	1.27235593286432	2.14694198138253
Z003E0026	1.12181638001294	0.897963092056475
Z003E0027	0.784529016710019	0.289914034246401
Z003E0029	3.01565688107869	0.629105568538544
Z003E0030	1.50614069283859	2.26482068551396
Z003E0031	2.10532903244325	1.67991575957584
Z003E0032	1.60771068051854	0.930398309140231
Z003E0033	3.74825964458346	3.06310895361946
Z003E0034	1.72976217601241	2.42102574586416
Z003E0035	2.51677796781276	4.17321652198541
Z003E0036	1.33192265454969	1.19906874248587
Z003E0037	0.416589460932204	1.34599613982457
Z003E0038	1.38555618641078	0.172439538609613
Z003E0041	1.11470515176699	1.78183996791077
Z003E0042	2.08435934566728	2.26665798463354
Z003E0044	2.51616464412212	1.52005199013753
Z003E0045	1.97012478808975	1.9171703936238
Z003E0046	-0.320046280636042	-0.531510866175914
Z003E0047	0.904343315110141	1.66126212155462
Z003E0049	3.50716260216055	2.92062888883022
Z003E0050	1.84879013240522	1.38519700587372
Z003E0051	3.59283055829575	2.45464855064701
Z003E0052	3.73654426589813	1.90001743914639
Z003E0053	3.32871335649884	1.77952828778284
Z003E0054	3.20344686982178	2.9203833835668
Z003E0055	2.16552584604425	1.33781685286433
Z003E0056	2.1911359273345	2.75319162147371
Z003E0057	2.6511079420052	3.23927887202951
Z003E0058	1.77078327257288	3.44059538373481
Z003E0059	3.18043887564248	2.57612545271127
Z003E0061	0.983965384583985	2.40899947856197
Z003E0063	1.47656880809045	2.8735190848482
Z003E0066	1.80132037824822	2.21744129922688
Z003E0067	0.980729226368815	1.86990778147037
Z003E0068	3.11140222978318	3.60773576336618
Z003E0069	2.38569623853001	3.36382312935248
Z003E0070	1.37703473799215	3.9397640663616
Z003E0071	1.68576334060582	0.723023158795493
Z003E0072	0.488724930613847	1.95766870139562
Z003E0073	2.76420732566938	1.65784625805569
Z003E0074	2.33778725687727	0.584051791676452
Z003E0075	1.49572003470338	1.44231890398092
Z003E0076	3.79742326424279	2.39545653132549
Z003E0077	1.25343461876182	2.44473398047842
Z003E0078	3.17505732467191	3.77406751148335
Z003E0079	3.00602900879178	1.60465929911732
Z003E0080	2.69551429642876	2.03312300396941
Z003E0081	2.56085041561121	3.25583971966517
Z003E0082	2.87798839104904	2.4692224376007
Z003E0083	2.66692737077434	1.96976579848849
Z003E0084	1.88512347468493	3.614596988217
Z003E0085	1.35438040695796	2.06181396502036
Z003E0086	1.72815633343064	3.32709181448265
Z003E0087	1.43084580199133	1.95349812888848
Z003E0089	0.030151848718837	1.41448408170965
Z003E0092	4.07219454653922	1.61680499255449
Z003E0093	1.6939008854327	1.01233469256094
Z003E0094	3.50598477939719	4.05002282811517
Z003E0095	2.44278518816967	3.24148644609154
Z003E0097	1.26390529125059	1.11521937304631
Z003E0098	2.61485236706205	1.44574104984973
Z003E0100	1.99810681186842	1.15591937117239
Z003E0101	2.42913784302956	4.07685484981274
Z003E0102	1.137190232368	1.68874388203914
Z003E0103	-0.61153402549197	-0.652602646241008
Z003E0104	3.28499383339173	2.68997036482645
Z003E0105	1.5951587357	2.17958491546183
Z003E0106	0.261454997829209	0.704341635562582
Z003E0107	-0.707935287365421	0.317132544061861
Z003E0108	2.37023559501196	-0.0583041104796153
Z003E0109	0.556953620729183	0.542318790047811
Z003E0110	3.39975284409717	3.30266824999823
Z003E0111	2.00478757404744	0.803495647918688
Z003E0112	-0.517100135827524	-0.0879191334972935
Z003E0114	2.78041939578052	0.780522878565977
Z003E0115	1.06702037566979	0.377579016553723
Z003E0116	-0.332923901945402	1.71501525845669
Z003E0117	2.57036956447699	3.85285756019996
Z003E0118	0.455848673362606	1.23054013452588
Z003E0120	1.60138652501091	0.664369815777303
Z003E0121	1.89500717936231	2.76681792068717
Z003E0122	1.40729063428615	1.10717916060236
Z003E0123	1.65871073515546	1.37661201032903
Z003E0126	4.27601317162616	3.33181545132754
Z003E0127	3.47969934333815	1.17509856991813
Z003E0128	1.70809730153932	2.08218520052327
Z003E0129	0.00750646979350877	-0.300792442152158
Z003E0130	0.968306273148149	2.09310912511072
Z003E0131	3.3999475869908	2.94498817218004
Z003E0132	1.29934818245333	1.7878227174076
Z003E0133	2.20261253912162	2.15022081359805
Z003E0134	1.57149424694997	0.927663884343565
Z003E0135	-0.218675189448121	0.616342181479252
Z003E0136	2.78309696992825	2.95269360275467
Z003E0138	-0.0506929695073153	2.39947097656851
Z003E0139	2.83406057959976	3.40006218920939
Z003E0140	1.79092424013846	2.54750757111045
Z003E0142	2.06861785482739	2.78587937177754
Z003E0143	1.45545447837815	2.60626310519526
Z003E0144	2.09831889103196	1.68780023800702
Z003E0145	0.24589536802915	0.849843397872924
Z003E0147	2.46162326734263	1.99945004416419
Z003E0148	1.55355515216384	1.35799121283671
Z003E0149	3.11232675680963	2.95674412381726
Z003E0150	2.37767936580947	1.15357206102374
Z003E0152	1.17098587897155	-0.0346970846694745
Z003E0153	1.45458565618503	1.00371041904844
Z003E0154	0.43507230361573	2.25743516597289
Z003E0156	1.47054948942991	0.703844610715973
Z003E0157	1.92758906631703	0.722561746519721
Z003E0158	2.78049192721614	3.52558895345194
Z003E0160	1.34308853972796	0.0234672159402221
Z003E0161	2.27422390941418	3.63682899944346
Z003E0163	0.485133688364858	1.70236570209257
Z003E0164	1.94300566388055	2.63134986657908
Z003E0166	3.35232589364573	2.02990941318754
Z003E0167	3.87127120287338	3.92120364507379
Z003E0168	3.09825783712799	3.3223737403641
Z003E0169	-0.0369231565525652	1.14664076555378
Z003E0171	3.41051034539133	1.82854427522164
Z003E0172	2.62677975433536	2.04068548995529
Z003E0173	2.04806057994225	1.91382315978393
Z003E0174	0.697310654172255	0.624593708543219
Z003E0175	-0.319010251883478	1.85860612923468
Z003E0176	3.08129617603314	-0.537315946179615
Z003E0177	1.02110139393989	1.46910873976503
Z003E0178	0.691647840661526	-0.11640737107951
Z003E0183	0.263235014623095	0.98835187661189
Z003E0184	1.79461786375519	1.6412580062505
