Trait	Heritability_0.5_Rep_1
Z001E0001	0.370917136
Z001E0002	1.416813616
Z001E0003	2.370845592
Z001E0004	1.430322664
Z001E0005	2.132152894
Z001E0006	3.383146238
Z001E0007	2.324354645
Z001E0008	2.075318708
Z001E0009	3.11844679
Z001E0010	0.060516358
Z001E0012	4.028912617
Z001E0013	2.68490608
Z001E0014	3.056448246
Z001E0015	3.252493757
Z001E0016	2.701567622
Z001E0017	2.721872735
Z001E0018	1.773156762
Z001E0019	1.056722427
Z001E0020	1.944945799
Z001E0021	3.355235363
Z001E0022	0.710918375
Z001E0023	2.970258777
Z001E0024	2.345108621
Z001E0025	3.206665616
Z001E0027	2.259445415
Z001E0028	1.842088964
Z001E0030	4.070050086
Z001E0031	2.48461587
Z001E0032	1.364627082
Z001E0033	-0.255756877
Z001E0034	0.939893003
Z001E0036	2.555167942
Z001E0037	2.059412028
Z001E0038	2.281405243
Z001E0039	-0.274839564
Z001E0040	0.055908903
Z001E0041	3.397721264
Z001E0042	4.768814606
Z001E0043	0.796497008
Z001E0044	2.56776682
Z001E0045	-0.057953417
Z001E0046	0.384503908
Z001E0047	-0.3640776
Z001E0048	2.073622566
Z001E0049	0.423689756
Z001E0050	3.323026794
Z001E0051	2.902712763
Z001E0052	1.771784817
Z001E0053	1.60715049
Z001E0054	-0.176246676
Z001E0055	0.966453605
Z001E0056	1.805177312
Z001E0057	2.87082576
Z001E0058	0.580677154
Z001E0059	3.071680006
Z001E0060	-0.330827618
Z001E0061	2.082546522
Z001E0062	4.500324289
Z001E0063	2.342414286
Z001E0064	3.804866739
Z001E0065	0.69513098
Z001E0067	1.726878962
Z001E0068	-0.086879057
Z001E0069	1.820088638
Z001E0070	1.421950647
Z001E0071	2.054069739
Z001E0072	2.636040436
Z001E0073	1.555287016
Z001E0074	4.329579109
Z001E0075	1.295448886
Z001E0077	-0.352665628
Z001E0078	1.331422184
Z001E0079	1.727272996
Z001E0080	0.053245293
Z001E0081	1.388347873
Z001E0082	2.961769803
Z001E0083	0.350163804
Z001E0085	2.002704548
Z001E0086	1.854394713
Z001E0087	1.658649324
Z001E0088	1.399142047
Z001E0089	1.350366221
Z001E0090	0.554861322
Z001E0091	3.209821287
Z001E0092	1.591977665
Z001E0093	0.427722915
Z001E0094	2.051143552
Z001E0095	1.52698481
Z001E0096	1.355133247
Z001E0097	1.87535523
Z001E0098	1.299006258
Z001E0099	1.944383732
Z001E0100	0.938683443
Z001E0101	4.297724138
Z001E0102	3.33064196
Z001E0103	2.35888364
Z001E0104	2.750664926
Z001E0105	1.51918187
Z001E0107	3.95957516
Z001E0108	1.605780465
Z001E0109	1.979322319
Z001E0110	2.65381684
Z001E0111	1.383463163
Z001E0112	1.225663036
Z001E0113	2.559898501
Z001E0115	2.31799345
Z001E0116	2.054677165
Z001E0117	2.448998222
Z001E0118	3.203035006
Z001E0119	1.142951672
Z001E0120	1.624006438
Z001E0121	1.849058508
Z001E0122	1.437202888
Z001E0123	3.375207893
Z001E0124	2.085151826
Z001E0125	2.957585886
Z001E0126	-0.036617435
Z001E0127	0.987222698
Z001E0128	2.868769057
Z001E0129	1.015889394
Z001E0130	1.538480071
